6	16	45	54	60
20	33	50	53	54
32	35	49	62	67
2	11	42	64	74
41	42	51	57	65
20	30	32	42	71
25	44	49	54	63
14	15	29	49	63
17	23	35	36	44
27	44	59	74	75
9	41	43	47	57
7	12	41	44	59
11	29	44	63	64
5	12	22	41	65
19	24	26	27	70
8	14	17	20	39
3	4	31	49	57
23	34	53	58	73
4	15	35	48	49
8	12	34	52	58
22	24	25	40	70
13	34	56	62	64
8	28	36	37	57
4	23	26	62	69
1	10	26	31	51
8	23	33	45	52
22	45	46	47	65
7	16	28	53	60
3	9	13	47	52
25	44	49	60	73
11	21	23	35	64
43	64	67	71	73
20	28	35	71	72
23	29	31	37	70
23	29	32	45	46
12	18	25	35	66
3	31	50	58	59
10	29	31	35	45
11	13	51	57	69
9	14	56	57	69
7	20	40	54	69
11	19	24	33	51
2	23	30	35	53
19	26	51	57	73
2	3	9	50	73
10	23	68	74	75
1	10	15	41	54
35	36	41	60	71
3	42	44	47	57
4	39	46	47	70
18	25	38	45	63
2	18	19	49	50
3	11	18	20	66
7	43	59	61	66
1	18	26	35	40
18	20	27	48	51
10	28	39	51	59
37	46	48	70	74
13	14	16	50	56
10	40	63	64	69
12	14	21	38	70
1	6	10	46	58
10	13	42	43	62
19	28	62	66	74
12	29	37	49	72
2	10	24	26	74
7	38	46	49	56
10	14	24	47	60
1	22	25	29	56
13	17	24	47	65
15	29	31	46	64
9	22	38	47	49
16	33	39	58	69
14	25	27	48	49
9	13	30	35	69
2	4	17	36	40
5	8	59	65	72
14	18	22	31	47
22	29	33	41	68
2	8	16	43	74
13	29	34	37	72
25	28	36	45	53
9	16	61	70	75
32	53	60	63	68
16	19	28	29	68
22	39	56	67	71
5	31	34	41	74
29	31	51	60	64
3	26	45	58	73
1	8	54	69	72
7	12	20	24	59
25	34	55	70	71
18	28	33	36	42
25	45	51	53	73
16	25	27	29	34
21	24	25	40	43
17	26	35	46	62
3	16	52	54	61
3	20	34	58	67
16	29	46	48	55
2	32	35	50	59
11	37	46	64	68
